what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1308054874493
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054895412
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1308054895426
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308054898302
error,log,,,"Error",1308054900289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054900309
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054901521
error,log,,,"Error",1308054905556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054905574
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054906295
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1308054910571
error,log,,,"Error",1308054912484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054912504
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054913880
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308054916570
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308055038650
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1308055038680
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308055048452
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1308055051739
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308055060019
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308055060204
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1308055060231
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308055113383
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1308055113401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1308055124813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308055207737
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308055209949
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308055210283
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308055214908
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308055217745
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308055218640
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308055220752
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1308055222124
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1308055223324
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1308055225209
