what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312288851955
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1312288853311
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288854147
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288858920
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288861092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288877457
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288878388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288880976
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288882185
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312288883941
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288884071
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312288893799
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288897068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288897959
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312288899270
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288899428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312288901982
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312288903529
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312288904043
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288906948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288907849
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312288908764
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288908896
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312288911319
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312288920797
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312288923708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288925879
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288926732
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312288927477
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288927626
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312288940672
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312288951204
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288951373
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288951394
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288960998
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288966058
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288966986
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312288969805
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288969946
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288975583
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288978240
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312288978252
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288978266
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312288996293
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312288998639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312289000323
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312289002979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312289004285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312289007786
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312289008736
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312289016066
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312289023847
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312289052902
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312289054029
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312289063977
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312289070503
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1312289076580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312289082545
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312289083999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312289086102
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312289086979
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312289088309
