what,kind,bundleId,bundleVersion,description,time
java.specification.version,sysinfo,,,"1.6",1326272493668
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1326272493668
java.version,sysinfo,,,"1.6.0_21",1326272493668
java.vm.info,sysinfo,,,"mixed mode, sharing",1326272493668
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1326272493668
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1326272493668
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1326272493668
java.vm.specification.version,sysinfo,,,"1.0",1326272493668
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1326272493668
java.vm.version,sysinfo,,,"17.0-b17",1326272493668
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1326272493706
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1326272493887
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1326272493906
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1326272494107
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1326272494137
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1326272494269
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1326272494276
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1326272494284
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1326272494645
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1326272494703
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1326272495093
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1326272495179
