what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305272804764
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305272810617
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305272815731
error,log,,,"Internal error logged from CDI Debug: ",1305272815738
error,log,,,"Internal error logged from CDI Debug: ",1305272815739
error,log,,,"Internal error logged from CDI Debug: ",1305272815741
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305272816464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305272817432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305272819548
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305272832883
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273124521
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273128096
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273130317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273138888
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305273142175
error,log,,,"Internal error logged from CDI Debug: ",1305273142178
error,log,,,"Internal error logged from CDI Debug: ",1305273142179
error,log,,,"Internal error logged from CDI Debug: ",1305273142180
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273143270
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273155878
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273543141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273571081
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273573217
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305273577729
error,log,,,"Internal error logged from CDI Debug: ",1305273577732
error,log,,,"Internal error logged from CDI Debug: ",1305273577733
error,log,,,"Internal error logged from CDI Debug: ",1305273577734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273578702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273615890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273950604
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273952767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273956199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273957984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273960083
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273962440
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273964085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305273980969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274282652
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274283040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274284996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274301119
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274470197
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274473201
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305274476191
error,log,,,"Internal error logged from CDI Debug: ",1305274476194
error,log,,,"Internal error logged from CDI Debug: ",1305274476195
error,log,,,"Internal error logged from CDI Debug: ",1305274476196
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305274478991
error,log,,,"Internal error logged from CDI Debug: ",1305274478994
error,log,,,"Internal error logged from CDI Debug: ",1305274478995
error,log,,,"Internal error logged from CDI Debug: ",1305274478996
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274479829
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274539974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274701974
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274705640
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305274708464
error,log,,,"Internal error logged from CDI Debug: ",1305274708471
error,log,,,"Internal error logged from CDI Debug: ",1305274708473
error,log,,,"Internal error logged from CDI Debug: ",1305274708475
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274709441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274742309
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274946230
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274950888
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305274953632
error,log,,,"Internal error logged from CDI Debug: ",1305274953635
error,log,,,"Internal error logged from CDI Debug: ",1305274953637
error,log,,,"Internal error logged from CDI Debug: ",1305274953638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274954395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274955524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274957284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305274972227
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305275743333
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305275744505
error,log,,,"Failed command: target remote UDP:192.168.42.176",1305275757022
error,log,,,"Internal error logged from CDI Debug: ",1305275757027
error,log,,,"Internal error logged from CDI Debug: ",1305275757029
error,log,,,"Internal error logged from CDI Debug: ",1305275757030
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305275772715
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305275790498
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305275825267
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305275847550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305276178875
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1305276180521
