what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1312445591194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312445594857
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1312445594866
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312445605579
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312445682898
error,log,,,"Error creating session",1312445682963
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312445682969
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312445686317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312445689047
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446209441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446214619
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.ui",1312446234775
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446396708
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1312446396720
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446398987
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446419679
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312446419702
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1312446419946
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.refresh",1312446420987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446424042
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446431220
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446433778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446435244
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1312446435248
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1312446435248
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312446437305
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446440397
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446441733
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446445919
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446476748
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1312446476765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446478833
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446513004
error,log,,,"Error creating session",1312446513057
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446513065
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446530711
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446533181
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446546036
error,log,,,"Error creating session",1312446546085
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446546092
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446549211
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446553721
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446571041
error,log,,,"Error creating session",1312446571104
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446571114
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446572454
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446574526
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446580690
error,log,,,"Error creating session",1312446580739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446580747
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446581638
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446583382
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446597809
error,log,,,"Error creating session",1312446597864
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446597870
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446605004
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446607232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446618194
error,log,,,"Error creating session",1312446618251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446618259
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446620131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446622286
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446770219
error,log,,,"Error creating session",1312446770288
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446770295
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446773044
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446775403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446844464
error,log,,,"Error creating session",1312446844529
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446844535
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446846932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446848923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446857090
error,log,,,"Error creating session",1312446857150
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446857157
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446859292
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446861594
started,bundle,org.eclipse.ui.browser,3.3.0.v20100517,"org.eclipse.ui.browser",1312446926270
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446967242
error,log,,,"Error creating session",1312446967303
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446967310
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446968835
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446969128
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446980414
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312446982999
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447214056
error,log,,,"Error creating session",1312447214134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447214143
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447223973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447227026
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447466958
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447478364
no handler,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1312447540782
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447573412
error,log,,,"Error creating session",1312447573475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447573483
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447581364
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447585748
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1312447614742
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447702154
error,log,,,"Error creating session",1312447702217
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447702223
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447708277
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447719246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447727562
error,log,,,"Error creating session",1312447727614
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447727621
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447730251
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447739232
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447755258
error,log,,,"Error creating session",1312447756360
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447756368
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447761501
opened,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.ExpressionView",1312447763010
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.ExpressionView",1312447763024
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1312447764351
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1312447764367
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312447764802
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447771132
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447817663
error,log,,,"Error creating session",1312447817731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447817732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447821392
error,log,,,"Error creating session",1312447822725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447822733
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447823852
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447826014
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447843129
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447847337
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447871917
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447873290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312447896798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447910040
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447917363
error,log,,,"Failed command: target remote UDP:192.168.42.129",1312447920230
error,log,,,"Internal error logged from CDI Debug: ",1312447920292
error,log,,,"Internal error logged from CDI Debug: ",1312447920295
error,log,,,"Internal error logged from CDI Debug: ",1312447920296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447921284
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447927041
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447939686
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312447939713
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1312447940798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447945593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447967072
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312447967574
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312447974957
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448053742
failed,command,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externalTools.commands.OpenExternalToolsConfigurations",1312448053765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448056434
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448260403
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312448261004
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1312448261022
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448263840
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448268333
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1312448277417
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448281740
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448368601
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448369356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448370454
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1312448370564
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312448370651
stopped,bundle,com.zylin.embeddedcdt,4.16.1,"com.zylin.embeddedcdt",1312448371251
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1312448371251
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1312448371251
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1312448371269
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1312448371271
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1312448371271
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1312448371305
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1312448371319
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1312448371320
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1312448371320
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1312448371320
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1312448371339
