what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582133018
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1322582133037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582136320
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582137579
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582138946
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582138991
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582140412
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582141139
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1322582152081
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582152102
closed,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1322582152108
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1322582159494
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582159659
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582160896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582162378
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1322582166999
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582167165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582168988
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582170174
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582191315
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582191315
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582191963
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582191963
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1322582192450
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582192451
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582194312
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582194352
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1322582206598
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1322582206872
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1322582206900
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1322582210271
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582211794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582220122
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582222213
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322582325254
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582355863
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582474784
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582474847
error,log,,,"Variable references empty selection: ${project_name}",1322582481287
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582481342
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582483469
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582483738
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582487207
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582488713
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582493474
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582494922
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582504673
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582505313
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582507560
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582508882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582510234
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582511237
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582514506
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582515615
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582517018
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582520119
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1322582532144
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582536289
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582537500
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582540857
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1322582553920
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322582557119
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1322582562903
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1322582563295
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1322582564426
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582569363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582852405
error,log,,,"Variable references empty selection: ${project_name}",1322582860831
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582860847
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582871125
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1322582871846
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582884606
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582885495
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1322582885656
stopped,bundle,com.zylin.embeddedcdt,4.16.1,"com.zylin.embeddedcdt",1322582886314
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1322582886315
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1322582886315
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1322582886345
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1322582886403
