what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457038747
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298457040719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457041774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457042557
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298457049783
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1298457051080
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1298457052536
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298457054086
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1298457054801
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1298457054825
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298457055738
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1298457061360
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1298457063134
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298457068905
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457071376
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457072225
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1298457076387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457090187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1298457090205
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457107795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457110027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457135560
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298457155045
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1298457157064
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1298457157088
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1298457161416
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457186495
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1298457186516
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1298457192866
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1298457193262
